"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Brunei Darussalam","BRN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55170","57100","59510","59540","61180","63690","65180","63860","62830","64280","66210","68170","70520","72630","73620","74920","79310","80710","79340","77370","78210","80090","84510","81390","79960","64670","59540","63750","61450","65730","66940","66480","",
"Bhutan","BTN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1380","1360","1470","1630","1800","1840","1970","2140","2090","2160","2710","2920","3160","3370","3570","3910","4300","5100","5310","5570","6130","6640","7080","7240","7860","8640","9390","10030","10470","11180","10440","11250","",
"Botswana","BWA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5650","6380","6610","6990","6330","7080","7090","7830","8230","8300","8360","8730","8210","8950","9150","9950","11270","12290","12470","11020","11660","12890","12300","12810","14070","13020","13970","13400","13790","14930","14050","15420","",
"Central African Republic","CAF","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","620","620","580","570","590","630","600","630","650","670","640","680","690","660","700","710","750","790","800","870","910","950","1030","690","680","740","800","880","940","960","940","980","",
"Canada","CAN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24480","25430","26900","28590","29380","30180","31550","33190","35580","37510","38990","39780","38200","39310","40880","41540","43620","45010","43990","45900","47700","49140","49140","46600","52310","",
"Central Europe and the Baltics","CEB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6546.21783174532","6856.75270464075","7318.81080972834","7902.42907659366","8306.63121186243","8579.12077134361","8962.80420934407","9245.72375895452","9865.76163296642","10642.173211485","11448.2622032152","12050.5552817905","13003.7276322959","13898.0785162536","15345.2778966935","16929.7322660159","19010.9835705066","19117.1893519218","20120.1933490023","21471.3761362528","22310.1737229161","23120.5993366794","24145.4767861754","25225.6902748591","26803.1359439859","28819.5839315994","30904.6296463334","33790.6648527436","33845.1843647548","36367.5412954022","",
"Switzerland","CHE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31550","32310","34130","35450","36660","39100","39300","39750","41280","42720","45080","49790","51420","50560","54230","57860","58510","61140","63430","64210","66830","67820","68170","68800","71070","69410","75680","",
"Channel Islands","CHI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4200","4620","5300","5820","6180","6970","7710","8320","8730","8670","9140","9550","9850","10270","10870","11680","14000","15220","15250","15010","16930","18560","20400","21430","21770","22130","22840","23590","24520","24650","23250","26720","",
"China","CHN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","980","1100","1260","1450","1660","1830","2030","2240","2410","2620","2880","3160","3500","3910","4420","5020","5830","6830","7630","8290","9220","10200","11140","11780","12500","12840","13420","14220","15430","16610","17050","19160","",
"Cote d'Ivoire","CIV","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2480","2500","2480","2440","2480","2620","1830","1940","1990","2010","1880","1840","1810","1750","1860","2060","2110","2150","2280","2340","2460","2250","2490","2650","4180","4480","4550","4610","4880","5200","5220","5670","",
"Cameroon","CMR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1940","1840","1780","1640","1650","1680","1740","1800","1870","1940","1970","2030","2110","2260","2450","2500","2640","2730","2800","2840","2860","2930","2980","3140","3340","3390","3500","3620","3750","3830","3780","3970","",
"Congo, Dem. Rep.","COD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","490","470","510","480","460","430","420","400","410","430","460","480","510","540","550","560","590","620","620","670","750","810","910","990","1030","1040","1070","1110","",
"Congo, Rep.","COG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2900","3000","3180","2920","2890","2120","2170","2610","2820","2520","2700","2750","2910","2970","2840","3270","3910","3580","3920","4450","4790","4680","5740","5680","5770","4420","3550","3500","3640","3430","3030","3400","",
"Colombia","COL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4880","5070","5300","5650","6050","6380","6490","6710","6730","6440","6610","6740","6900","7150","7610","8200","8890","9590","9940","10050","10450","11200","11630","12360","13010","13200","13820","14090","14790","15530","14980","16610","",
"Comoros","COM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1510","1440","1580","1620","1530","1580","1560","1610","1610","1640","1820","1870","1890","1930","1980","2060","2140","2180","2260","2300","2370","2460","2650","2800","2900","2900","3070","3260","3390","3450","3410","3560","",
"Cabo Verde","CPV","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","990","1010","1120","1220","1440","1630","1800","1990","2210","2430","2760","2880","2990","3150","3510","3770","4120","4910","5240","5160","5140","5420","5270","5300","5180","5490","5800","6100","6530","6970","5940","6590","",
"Costa Rica","CRI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4740","4980","5440","5830","6150","6360","6450","6760","7090","7210","7440","7730","7980","8350","8860","9410","10350","11380","12060","11710","12340","12970","13740","14320","15260","16210","18110","19110","20010","21260","20390","21070","",
"Caribbean small states","CSS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5714.90370323935","5956.11191628109","6316.833454666","6750.96707409455","6945.73733401301","7364.80163879975","7788.78988726427","8025.94670612427","8187.99367606749","8610.49840842329","9017.78512683401","9341.22489576986","9808.59249228332","10548.2329668406","11352.164445134","11981.9902312521","13163.5792298274","14008.8173774014","14463.5373032065","13901.8766621793","14265.1106642871","14232.6124015374","14761.2372283012","15150.5961757639","15326.8568161801","15374.1203917364","14989.8758342932","15738.0006803171","15940.6190566033","16395.3821395596","15130.4589399753","16708.8843781324","",
"Cuba","CUB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24480","25050","25860","26030","25510","25860","26160","25590","25420","25050","24950","24570","25500","25630","25750","21640","23790","",
"Cayman Islands","CYM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62790","64500","44080","38610","37170","38610","42330","46580","50780","55930","52500","","",
"Cyprus","CYP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13270","13470","14660","14770","15630","16230","16480","16810","19330","18530","19460","21230","22340","23290","24490","26320","28350","30780","34260","33790","33040","34280","31700","30090","29370","31710","34450","37290","39220","41660","38510","40640","",
"Czechia","CZE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11780","12130","12750","13750","14470","14600","14760","15110","15920","17130","17600","18880","19940","21070","22430","24590","26270","25850","25790","26660","27370","28860","30270","31570","33660","36630","38880","41530","41330","43960","",
"Germany","DEU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19670","21070","21790","21910","22790","23530","24080","24530","25200","26110","27050","28170","28870","29610","31520","32060","34740","36820","38160","37650","39730","43630","44400","46040","47950","48690","51830","54340","57010","59260","57410","60050","",
"Djibouti","DJI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3680","3860","4100","4130","4250","4470","4820","4860","5300","",
"Dominica","DMA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4240","4420","4630","4870","4890","5100","5270","5540","5880","5810","5850","6300","6140","6670","6960","7300","8220","8900","9780","9850","10130","10300","10040","10060","10820","10930","11710","11550","12150","12720","10970","11990","",
"Denmark","DNK","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17620","18400","19210","19730","21210","22290","23280","24480","25450","26370","28010","29010","30260","30550","32980","34430","37780","39210","41740","40730","43700","45340","45820","48210","49640","50550","53250","56570","59080","61830","63040","66760","",
"Dominican Republic","DOM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3540","3610","4020","4270","4420","4680","4990","5440","5760","6080","6420","6620","6930","6710","6860","7860","8780","9540","10050","10090","10910","11300","11320","11760","12680","13960","15230","15740","17130","18070","16830","19440","",
"Algeria","DZA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6720","6570","6760","6690","6590","6770","7040","7180","7550","7750","8090","8580","8990","9710","10200","10910","11400","12220","12610","12640","13100","13410","13180","12850","12760","11760","11570","11630","11700","11820","11210","11860","",
"East Asia & Pacific (excluding high income)","EAP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1434.99358805707","1572.86607416925","1750.13987361245","1947.7334694387","2174.80243199307","2383.33825569645","2609.93159101062","2801.78326552334","2812.60077722818","2980.34674613277","3241.20720271182","3507.03507683108","3812.19227066734","4186.9555306672","4640.68848139571","5177.72051965947","5878.25236075502","6720.21555337606","7381.09154681898","7882.58218007552","8664.81310767937","9478.59482676316","10300.3772553937","10826.2209443683","11406.3054599356","11672.207002664","12187.8362221522","12887.4384645183","13920.7391782447","14915.098048889","15095.6115024552","16675.5921115603","",
"Early-demographic dividend","EAR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2880.67363748475","3057.09997139562","3195.59415054558","3286.34328307648","3385.96017554237","3507.68320938277","3699.88564108797","3853.43215308513","3818.32323857968","3889.17112649987","4078.49002764122","4194.75564773765","4272.3167794949","4511.67147846103","4844.24418652822","5212.55411162864","5673.18734235903","6113.31694495204","6400.64508943384","6486.71466088099","6881.31168525631","7280.87524043754","7635.56296542082","7850.46966662295","8073.24360290087","8175.92694649957","8448.12577964803","8861.66604800702","9290.60453398355","9552.7161262413","9146.74460953106","9998.68708206373","",
"East Asia & Pacific","EAS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3211.81665108064","3454.42788205435","3679.96278680852","3918.49357378829","4237.59141172403","4533.89997327418","4856.25104107044","5112.93194856253","5095.28795611558","5321.50368115377","5728.10433739418","6042.40407234867","6419.29376807602","6848.96933335867","7436.02326694999","8069.04136315492","8899.81970170466","9861.63243692317","10499.3005460842","10837.760817678","11761.0340444971","12625.6828137385","13482.797587785","14134.7929578093","14722.4813346794","15093.2655014525","15580.2540497244","16327.4037632762","17382.1208426914","18343.6010648463","18491.7486932522","20137.2916592859","",
"Europe & Central Asia (excluding high income)","ECA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6998.93971641518","6845.11631309828","6297.91594501275","6074.37144877164","5483.84640858421","5478.40344821933","5528.82908302654","5755.18824481145","5223.15687526514","5394.94354465415","6044.69153796426","6416.31159728664","6871.01042237151","7558.18371307911","8481.61870534571","9509.01666961856","11307.2061266618","12616.4069062499","14379.0521592623","13847.0643368302","14856.8158124943","16385.5099465144","17426.46268416","18763.8852154629","19133.9751066497","18812.8984006939","19111.1302994939","20281.5658635202","21666.0684936899","22310.9785308304","22315.4105544275","24330.059420779","",
"Europe & Central Asia","ECS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11794.1689834025","12108.8569497988","12166.93188753","12271.8827794355","12487.8119030698","12852.4219090829","13291.8929045701","13877.9267506284","14151.9203511929","14714.1232453661","15858.0271075485","16638.8567053305","17406.3196891956","18081.8550970118","19231.9536354938","20281.0783219772","22421.2141148495","23938.1046932469","25457.5236947621","24869.9431127276","25974.4284239275","27515.94213","28294.173330507","29538.9352896869","30245.1110257815","30656.0050092261","32053.550607942","33774.0004072627","35499.4755111015","37316.2912811366","36146.6589333086","38949.6276491586","",
