study ID,first author,publication_date,earliest_date,obs
126,Voko,24/11/2021,,
127,Wu,02/12/2021,,
128,Muhsen,28/10/2021,,
129,Yassi,06/12/2021,,
130,UKHSA,27/01/2022,14/01/2022,[Update to Jan 14 2022 briefing] [March 2  2022 publication by Andrews et al with VE estimated till January 12 2022 can be accessed here]
131,Bajema,10/12/2021,10/09/2021,Updated analysis of reference #94
132,Powell,21/03/2022,18/02/2022,[Update to February 18  2022 preprint]
133,Berec,08/07/2022,12/12/2021,[Published version of December 12th preprint]
134,Machado,13/09/2021,14/12/2021,[Update to December 14 2021 preprint]
135,Florea,28/04/2022,24/11/2021,Updated interim analysis of reference #86
136,Young-Xu,15/12/2021,06/10/2021,Updated analysis of reference #45
137,Castillo-Arregoces,16/12/2021,,
138,McLean,18/02/2022,16/12/2021,Published version of pre-print from December 16 2021
139,Abu-Raddad,21/01/2022,16/12/2021,Published version of December 16 2021
140,Bekker,19/03/2022,20/12/2021,[Published version of December 20 2021]
141,Tartof,14/02/2022,21/12/2021,[Updated version of previous December 21st preprint]
142,Lewis,21/12/2021,,
143,Ioannou,21/12/2021,,
144,Hansen,23/12/2021,,
146,Katikireddi,20/12/2021,,
147,Amir,21/12/2021,,
148,Ostropolets,23/08/2022,25/12/2021,[Update to December 25 2021 preprint]
149,Alali,07/12/2021,,
150,Mendola,23/12/2021,,
151,Collie,29/12/2021,,
152,Lutrick,31/12/2021,,
153,Chung,01/01/2022,,
155,Cerqueira-Silva ,31/03/2022,27/12/2021,(Update to December 27 2021 preprint]
156,Petraš,22/12/2021,,
157,Prunas,09/12/2022,05/01/2022,[Update to January 5 2022 preprint]
158,Zambrano,07/01/2022,,
159,Tseng,21/02/2022,21/01/2022,[update from January 21 preprint]
160,Chiew,28/09/2022,28/09/2022,[Update to January 8 2022 preprint]
161,Olson,12/01/2022,,
162,Gazit,24/11/2021,,
163,Suah,21/03/2022,16/01/2022,[Update to (January 16 2022 preprint]
164,Young-Xu,03/08/2022,13/03/2022,[Update to March 13 2022 preprint]
165,Tartof,22/04/2022,18/01/2022,[Update to January 18 2022 preprint]
166,Amodio,11/03/2022,13/01/2022,[Published version od January 13 2022 preprint]
167,Thompson,21/01/2022,,
168,Bedston,21/01/2022,,
169,Botton,24/01/2022,,
170,Spensley,26/01/2022,,
171,Willet,26/01/2022,,
172,Belayachi,07/12/2022,27/01/2022,[Update to January 27 2021 preprint]
173,Tenforde,28/01/2022,,
174,Lytras,14/06/2022,29/01/2022,[Published version of January 29 2022 preprint]
175,Roberts,26/07/2022,31/01/2022,[Published version of January 31 2022 preprint]
176,Sritipsukho,03/02/2022,,
177,Suryatma,04/02/2022,03/02/2022,[Update to February 3 preprint]
178,Lauring,09/03/2022,07/02/2022,[February 7 2022]
