"","pred","ci.lb","ci.ub","pi.lb","pi.ub","GNI","VoI","QMp_value","I2_lvl2","I2_lvl3","o2_lvl2","o2_lvl3","RR_summary","VE_summary","vaccine","clean_vaccine"
"Paternina-Caicedo",0.202092413837132,0.0696888873693413,0.586052457891389,0.0381528400153637,1.07046667336094,3,"delta",0.479658535557799,"2.98","90.63",0.102775375723213,0.566510921598962,"0.20 (0.07-0.59)","80 (41-93)","Janssen Ad26.COV2.S","Ad26.COV2.S"
"Smid",0.304826871654561,0.159179523466558,0.583739790515376,0.0723656870901738,1.28402597168629,4,"delta",0.479658535557799,"2.98","90.63",0.102775375723213,0.566510921598962,"0.30 (0.16-0.58)","70 (42-84)","Janssen Ad26.COV2.S","Ad26.COV2.S"
