"","pred","ci.lb","ci.ub","pi.lb","pi.ub","GNI","VoI","QMp_value","I2_lvl2","I2_lvl3","o2_lvl2","o2_lvl3","RR_summary","VE_summary","vaccine","clean_vaccine"
"Cerqueira-Silva.1",0.287257079125586,0.141277150409454,0.584076259102131,0.0703388280453277,1.17313057099256,3,"omicron",0.808873291402145,"14.14","82.12",0.215528547095674,0.519459757309815,"0.29 (0.14-0.58)","71 (42-86)","BioNTech/Pfizer BNT162b2","BNT162b2"
"Hansen",0.25984360492552,0.155014471120307,0.435563844670271,0.0693969237624784,0.972935043227314,4,"omicron",0.808873291402145,"14.14","82.12",0.215528547095674,0.519459757309815,"0.26 (0.16-0.44)","74 (56-84)","BioNTech/Pfizer BNT162b2","BNT162b2"
"Smid",0.13207623200942,0.066358362933847,0.262877658377383,0.0289494168324982,0.602572796638297,3,"delta",0.107011323906739,"26.88","69.24",0.331148022453368,0.53145768155081,"0.13 (0.07-0.26)","87 (74-93)","BioNTech/Pfizer BNT162b2","BNT162b2"
"Baum",0.065263509067287,0.0377445948649969,0.11284597519222,0.0151654280891617,0.280857592066252,4,"delta",0.107011323906739,"26.88","69.24",0.331148022453368,0.53145768155081,"0.07 (0.04-0.11)","93 (89-96)","BioNTech/Pfizer BNT162b2","BNT162b2"
