"","pred","ci.lb","ci.ub","pi.lb","pi.ub","GNI","VoI","QMp_value","I2_lvl2","I2_lvl3","o2_lvl2","o2_lvl3","RR_summary","VE_summary","vaccine","clean_vaccine"
"Cerqueira-Silva.1",0.328398480412797,0.175309453385654,0.615172541210261,0.0836263882102238,1.28961161955635,3,"omicron",0.618437277935472,"17.59","79.07",0.252210862398688,0.534770798651551,"0.33 (0.18-0.62)","67 ( 38-82)","BioNTech/Pfizer BNT162b2","BNT162b2"
"Hansen",0.264871260564366,0.161920920165027,0.433278075504102,0.0713807560260178,0.982852922535376,4,"omicron",0.618437277935472,"17.59","79.07",0.252210862398688,0.534770798651551,"0.26 (0.16-0.43)","74 ( 57-84)","BioNTech/Pfizer BNT162b2","BNT162b2"
"Penayo",0.505,0.129792976517812,1.9648597854985,0.0815868133705465,3.12581150634897,2,"omicron",0.618437277935472,"17.59","79.07",0.252210862398688,0.534770798651551,"0.51 (0.13-1.96)","49 (-49-87)","BioNTech/Pfizer BNT162b2","BNT162b2"
"Nasreen",0.0634454767100914,0.0360094443318027,0.11178535491634,0.0100900356923778,0.39894095895137,4,"delta",0.707388648089116,"43.31","54.8",0.565401603798938,0.635995533066883,"0.06 (0.04-0.11)","94 (89-96)","BioNTech/Pfizer BNT162b2","BNT162b2"
"Paternina-Caicedo",0.0915579378584139,0.0451577766953217,0.185634825236062,0.0138786333123418,0.604011634015187,3,"delta",0.707388648089116,"43.31","54.8",0.565401603798938,0.635995533066883,"0.09 (0.05-0.19)","91 (81-95)","BioNTech/Pfizer BNT162b2","BNT162b2"
"Penayo1",0.0809999999999999,0.00924679469310153,0.709543167957945,0.00498824086927217,1.31529334126908,2,"delta",0.707388648089116,"43.31","54.8",0.565401603798938,0.635995533066883,"0.08 (0.01-0.71)","92 (29-99)","BioNTech/Pfizer BNT162b2","BNT162b2"
