"","pred","ci.lb","ci.ub","pi.lb","pi.ub","GNI","VoI","QMp_value","I2_lvl2","I2_lvl3","o2_lvl2","o2_lvl3","RR_summary","VE_summary","vaccine","clean_vaccine"
"Paternina-Caicedo",0.0500000000000001,0.00474162855093967,0.527245011527648,0.00401356870476527,0.622887057354165,3,"omicron",0.182420058020469,"87.58","0",0.404711520806423,5.52841779770266e-05,"0.05 (0.00-0.53)","95 (  47-100)","Moderna mRNA-1273","mRNA-1273"
"Smid",0.396848821463658,0.283960332640184,0.554616152308336,0.151666434473585,1.03839051563201,4,"omicron",0.182420058020469,"87.58","0",0.404711520806423,5.52841779770266e-05,"0.40 (0.28-0.55)","60 (  45- 72)","Moderna mRNA-1273","mRNA-1273"
"Penayo",0.579,0.105788497844262,3.16897400786925,0.08452658456507,3.9661013363426,2,"omicron",0.182420058020469,"87.58","0",0.404711520806423,5.52841779770266e-05,"0.58 (0.11-3.17)","42 (-217- 89)","Moderna mRNA-1273","mRNA-1273"
"Nasreen",0.0555286863846863,0.0304361436739891,0.101308334085831,0.00738581229044607,0.41748082544657,4,"delta",0.0588423776594094,"90.62","5.23",0.883255446596203,0.212107392575687,"0.06 (0.03-0.10)","94 (  90- 97)","Moderna mRNA-1273","mRNA-1273"
"Lytras.1",0.0106887062123064,0.00271836294553816,0.0420283982609909,0.00100642919218527,0.113518607548465,3,"delta",0.0588423776594094,"90.62","5.23",0.883255446596203,0.212107392575687,"0.01 (0.00-0.04)","99 (  96-100)","Moderna mRNA-1273","mRNA-1273"
"Penayo1",0.238999999999999,0.010662576675354,5.35714787702601,0.00616444906566792,9.26619709101458,2,"delta",0.0588423776594094,"90.62","5.23",0.883255446596203,0.212107392575687,"0.24 (0.01-5.36)","76 (-436- 99)","Moderna mRNA-1273","mRNA-1273"
