"","pred","ci.lb","ci.ub","pi.lb","pi.ub","GNI","VoI","QMp_value","I2_lvl2","I2_lvl3","o2_lvl2","o2_lvl3","RR_summary","VE_summary","vaccine","clean_vaccine"
"Cerqueira-Silva.1",0.319714455369951,0.139683870007592,0.731776209858366,0.091995315363514,1.11111454500263,3,"omicron",0.182097386105243,"0","88.63",4.0618675100227e-06,0.39356630113641,"0.32 (0.14-0.73)","68 (  27-86)","Oxford/AstraZeneca ChAdOx1-S","ChAdOx1-S"
"Baum",0.343882556755152,0.182269984102149,0.648791480522581,0.111471661306715,1.06085449390657,4,"omicron",0.182097386105243,"0","88.63",4.0618675100227e-06,0.39356630113641,"0.34 (0.18-0.65)","66 (  35-82)","Oxford/AstraZeneca ChAdOx1-S","ChAdOx1-S"
"Penayo",0.89949826054178,0.331042117314112,2.44409118477807,0.229542734041869,3.52482131092029,2,"omicron",0.182097386105243,"0","88.63",4.0618675100227e-06,0.39356630113641,"0.90 (0.33-2.44)","10 (-144-67)","Oxford/AstraZeneca ChAdOx1-S","ChAdOx1-S"
"Clemens",0.111067246812887,0.044197066767282,0.279112036541906,0.0113608701136832,1.08582645441365,3,"delta",0.957301544868255,"28.89","69.44",0.533212149258879,0.826705702199727,"0.11 (0.04-0.28)","89 ( 72-96)","Oxford/AstraZeneca ChAdOx1-S","ChAdOx1-S"
"Nasreen",0.0944291591700559,0.0340633284006653,0.261773188946198,0.00926721836251439,0.962194452828714,4,"delta",0.957301544868255,"28.89","69.44",0.533212149258879,0.826705702199727,"0.09 (0.03-0.26)","91 ( 74-97)","Oxford/AstraZeneca ChAdOx1-S","ChAdOx1-S"
"Tsundue",0.111277559585766,0.0140870608099957,0.879011983718937,0.00590579751143776,2.09670162977685,1,"delta",0.957301544868255,"28.89","69.44",0.533212149258879,0.826705702199727,"0.11 (0.01-0.88)","89 ( 12-99)","Oxford/AstraZeneca ChAdOx1-S","ChAdOx1-S"
"Penayo1",0.168997628689184,0.0229388236793477,1.24505941986383,0.00941629843661639,3.03306003891164,2,"delta",0.957301544868255,"28.89","69.44",0.533212149258879,0.826705702199727,"0.17 (0.02-1.25)","83 (-25-98)","Oxford/AstraZeneca ChAdOx1-S","ChAdOx1-S"
